,author,birth,death,race_eth,education,institution,birthplace,temp,country,state,city,_merge,prestigious,prestige
0,Warwick Deeping,1877,1950,English,None,None,"Ramsgate, Kent, England","['Ramsgate', ' Kent', ' England']",England,,Ramsgate,both,False,Other
1,Mazo de la Roche,1879,1961,Canadian,None,None,"Newmarket, Ontario, Canada","['Newmarket', ' Ontario', ' Canada']",Canada,,Newmarket,both,False,Other
2,Pearl S. Buck,1892,1973,Caucasian,Graduate,Cornell University,"Hillsboro, WV, USA","['Hillsboro', ' WV', ' USA']",USA,WV,Hillsboro,both,True,Top School
3,Willa Cather,1873,1947,American,Undergrad ,University of Nebraska-Lincoln,"Back Creek Valley, Virginia, USA","['Back Creek Valley', ' Virginia', ' USA']",USA,VA,Back Creek Valley,both,False,Other
4,Rafael Sabatini,1875,1950,Italian,None,None,"Fermo, Marche, Italy","['Fermo', ' Marche', ' Italy']",Italy,,Fermo,both,False,Other
5,John Galsworthy,1867,1933,British,Undergrad ,New College,"Kingston upon Thames, Surrey, England","['Kingston upon Thames', ' Surrey', ' England']",England,,Kingston upon Thames,both,False,Other
6,A. A. Milne,1882,1956,English,None,None,"Kilburn, London, England","['Kilburn', ' London', ' England']",England,,Kilburn,both,False,Other
7,Edna Ferber,1885,1968,American,Undergrad ,University of Wisconsin-Madison,"Kalamazoo, MI, USA","['Kalamazoo', ' MI', ' USA']",USA,MI,Kalamazoo,both,False,Other
8,Clemance Dane,1888,1965,British,None,None,"Hampstead, London, England","['Hampstead', ' London', ' England']",England,,Hampstead,both,False,Other
9,Oliver LaFarge,1901,1963,White,Graduate,Harvard University,"Waterbury, CT, USA","['Waterbury', ' CT', ' USA']",USA,CT,Waterbury,both,True,Top School
10,Pearl Buck,1892,1973,Caucasian,Undergrad ,Cornell University,"Hillsboro, WV, USA","['Hillsboro', ' WV', ' USA']",USA,WV,Hillsboro,both,True,Top School
11,Henri Fauconnier,1879,1946,French,None,None,"Aubervilliers, Île-de-France, France","['Aubervilliers', ' Île-de-France', ' France']",France,,Aubervilliers,both,False,Other
12,Margaret Ayer Barnes,1886,1960,American,Undergrad ,University of Chicago,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Top School
13,Clemence Dane,1888,1965,British,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
14,William McFee,1881,1966,British,None,None,"Londonderry, Ireland","['Londonderry', ' Ireland']",Ireland,,Londonderry,both,False,Other
15,E. Phillips Oppenheim,1866,1946,White,None,None,"London, England","['London', ' England']",England,,London,both,False,Other
16,Francis Brett Young,1884,1954,British,Undergrad ,Birmingham University,"Halesowen, Worcestershire, England","['Halesowen', ' Worcestershire', ' England']",England,,Halesowen,both,False,Other
17,Robert Herrick,1591,1674,English,None,None,"Cheapside, London, England","['Cheapside', ' London', ' England']",England,,Cheapside,both,False,Other
18,Booth Tarkington,1869,1946,American,Undergrad ,Princeton University,"Indianapolis, IN, USA","['Indianapolis', ' IN', ' USA']",USA,IN,Indianapolis,both,True,Top School
19,Anne Parrish,1888,1957,American,Undergrad ,University of Colorado,"Denver, CO, USA","['Denver', ' CO', ' USA']",USA,CO,Denver,both,False,Other
20,Mary Roberts Rinehart,1876,1958,American,None,None,"Pittsburgh, PA, USA","['Pittsburgh', ' PA', ' USA']",USA,PA,Pittsburgh,both,False,Other
21,Aldous Huxley,1894,1963,English,Graduate,Oxford University,"Godalming, Surrey, England","['Godalming', ' Surrey', ' England']",England,,Godalming,both,False,Other
22,Tiffany Thayer,1902,1959,American,Undergrad ,Columbia University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
23,Vicki Baum,1888,1960,Austrian-Jewish,Graduate,University of Vienna,"Vienna, Austria","['Vienna', ' Austria']",Austria,,Vienna,both,False,Other
24,John Dos Passos,1896,1970,American,Undergrad ,Harvard University,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,True,Top School
25,Louis Golding,1895,1958,Jewish,Undergrad ,University of Oxford,"Manchester, England","['Manchester', ' England']",England,,Manchester,both,False,Other
26,Kathleen Norris,1947,N/A,American,Graduate,University of the Pacific,"Charleston, SC, USA","['Charleston', ' SC', ' USA']",USA,SC,Charleston,both,False,Other
27,Julia Peterkin,1880,1961,American,Undergrad ,Columbia University,"Laurens, SC, USA","['Laurens', ' SC', ' USA']",USA,SC,Laurens,both,True,Top School
28,A. J. Cronin,1896,1981,Scottish,Undergrad ,University of Glasgow,"Cardross, Dunbartonshire, Scotland","['Cardross', ' Dunbartonshire', ' Scotland']",Scotland,,Cardross,both,False,Other
29,Helen Hull,1885,1972,American,None,None,"Chester, VT, USA","['Chester', ' VT', ' USA']",USA,VT,Chester,both,False,Other
30,Louis Bromfield,1896,1956,American,Undergrad ,Ohio State University,"Chariho, Ohio, USA","['Chariho', ' Ohio', ' USA']",USA,OH,Chariho,both,False,Other
31,Faith Baldwin,1893,1978,American,Undergrad ,Barnard College,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
32,Charles Morgan,1894,1958,Welsh,None,None,"Hattiesburg, MS, USA","['Hattiesburg', ' MS', ' USA']",USA,MS,Hattiesburg,both,False,Other
33,A. Hamilton Gibbs,1884,1961,African American,Undergrad ,University of Pennsylvania,,,,,,both,True,Top School
34,Alice Grant Rosman,1886,1978,White,Undergrad ,University of Colorado,"Coloma, MI, USA","['Coloma', ' MI', ' USA']",USA,MI,Coloma,both,False,Other
35,G. B. Stern,1890,1973,British,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
36,T. S. Stribling,1887,1965,American,Undergrad ,University of Alabama,"Columbus, MS, USA","['Columbus', ' MS', ' USA']",USA,MS,Columbus,both,False,Other
37,Lady Eleanor Smith,1882,1972,British,None,None,"Leeds, West Yorkshire, England","['Leeds', ' West Yorkshire', ' England']",England,,Leeds,both,False,Other
38,Temple Bailey,1885,1953,White,Undergrad ,Smith College,"Suffolk, VA, USA","['Suffolk', ' VA', ' USA']",USA,VA,Suffolk,both,False,Other
39,J. B. Priestley,1894,1984,English,None,None,"Bradford, West Yorkshire, England","['Bradford', ' West Yorkshire', ' England']",England,,Bradford,both,False,Other
40,Joseph C. Lincoln,1870,1944,American,None,None,"Mahoney, Massachusetts, USA","['Mahoney', ' Massachusetts', ' USA']",USA,MA,Mahoney,both,False,Other
41,Mazo De La Roche,1879,1961,Canadian,None,None,"Newmarket, Ontario, Canada","['Newmarket', ' Ontario', ' Canada']",Canada,,Newmarket,both,False,Other
42,Manuel Komroff,1886,1974,None,None,None,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
43,Ellen Glasgow,1873,1945,American,None,None,"Richmond, VA, USA","['Richmond', ' VA', ' USA']",USA,VA,Richmond,both,False,Other
44,Hugh Walpole,1884,1941,English,Undergrad ,University of Cambridge,"Auckland, New Zealand","['Auckland', ' New Zealand']",New Zealand,,Auckland,both,False,Other
45,Phyllis Bentley,1894,1977,British,None,None,"Haworth, West Yorkshire, England","['Haworth', ' West Yorkshire', ' England']",England,,Haworth,both,False,Other
46,Thorne Smith,1892,1934,American,Undergrad ,Harvard University,"Fredericksburg, VA, USA","['Fredericksburg', ' VA', ' USA']",USA,VA,Fredericksburg,both,True,Top School
47,Rosamond Lehmann,1901,1990,English,Undergrad ,Newnham College,"Bolsover, Derbyshire, England","['Bolsover', ' Derbyshire', ' England']",England,,Bolsover,both,False,Other
48,Lion Feuchtwanger,1884,1958,German,Graduate,University of Munich,"Munich, Bavaria, Germany","['Munich', ' Bavaria', ' Germany']",Germany,,Munich,both,False,Other
49,W. Someset Maugham,1874,1965,British,None,None,"Paris, France","['Paris', ' France']",France,,Paris,both,False,Other
50,Lloyd C. Douglas,1877,1951,American,None,None,"Berkley, MI, USA","['Berkley', ' MI', ' USA']",USA,MI,Berkley,both,False,Other
51,James G. Cozzens,1903,1978,American,Undergrad ,Harvard University,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,True,Top School
52,S. S. Van Dine,1888,1939,Caucasian,None,None,"Pittsburgh, PA, USA","['Pittsburgh', ' PA', ' USA']",USA,PA,Pittsburgh,both,False,Other
53,Isabel Paterson,1886,1961,None,Undergrad ,University of Kansas,"Lima, Ontario, Canada","['Lima', ' Ontario', ' Canada']",Canada,,Lima,both,False,Other
54,Sinclair Lewis,1885,1951,American,Undergrad ,Yale University,"Sauk Centre, MN, USA","['Sauk Centre', ' MN', ' USA']",USA,MN,Sauk Centre,both,True,Top School
55,H. G. Wells,1866,1946,English,None,None,"Bromley, Kent, England","['Bromley', ' Kent', ' England']",England,,Bromley,both,False,Other
56,Fannie Hurst,1889,1968,American,None,None,"Hamilton, OH, USA","['Hamilton', ' OH', ' USA']",USA,OH,Hamilton,both,False,Other
