author_x,birth,death,race_eth,education,institution,year,week,rank,title_id,title,author_y,problem,author_alt,author_1,author_2,_merge
,,,,,,1995.0,1995-12-31,14.0,6336.0,THE SMALL ONE,Alex Walsh. Illustrated by Jesse Clay,True,Alex Walsh,Alex Walsh,,right_only
,,,,,,2008.0,2008-03-02,15.0,974.0,CELEBUTANTES,Amanda Goldberg and Ruthanna Khalighi Hopper,True,Amanda Goldberg and Ruthanna Khalighi Hopper,Amanda Goldberg,Ruthanna Khalighi Hopper,right_only
,,,,,,2011.0,2011-01-23,9.0,6836.0,THREE SECONDS,Anders Roslund and Borge Hellstrom,True,Anders Roslund and Borge Hellstrom,Anders Roslund,Borge Hellstrom,right_only
,,,,,,2011.0,2011-01-30,8.0,6836.0,THREE SECONDS,Anders Roslund and Borge Hellstrom,True,Anders Roslund and Borge Hellstrom,Anders Roslund,Borge Hellstrom,right_only
,,,,,,2011.0,2011-02-06,15.0,6836.0,THREE SECONDS,Anders Roslund and Borge Hellstrom,True,Anders Roslund and Borge Hellstrom,Anders Roslund,Borge Hellstrom,right_only
,,,,,,2011.0,2011-02-13,15.0,6836.0,THREE SECONDS,Anders Roslund and Borge Hellstrom,True,Anders Roslund and Borge Hellstrom,Anders Roslund,Borge Hellstrom,right_only
,,,,,,1944.0,1944-01-23,5.0,6478.0,THE TEN COMMANDMENTS,edited by Armin L. Robinson,True,Armin L. Robinson,Armin L. Robinson,,right_only
,,,,,,1944.0,1944-01-30,5.0,6478.0,THE TEN COMMANDMENTS,edited by Armin L. Robinson,True,Armin L. Robinson,Armin L. Robinson,,right_only
,,,,,,1980.0,1980-06-15,11.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
,,,,,,1980.0,1980-06-22,10.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
,,,,,,1980.0,1980-06-29,6.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
,,,,,,1980.0,1980-07-06,4.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
,,,,,,1980.0,1980-07-13,4.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
,,,,,,1980.0,1980-07-20,4.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
,,,,,,1980.0,1980-07-27,4.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
,,,,,,1980.0,1980-08-03,5.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
,,,,,,1980.0,1980-08-10,5.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
,,,,,,1980.0,1980-08-17,2.0,6372.0,THE SPIKE,Arnaud de Borchgrave and Robert Moss,True,Arnaud de Borchgrave and Robert Moss,Arnaud de Borchgrave,Robert Moss,right_only
