,birth,death,race_eth,education,institution
Warwick Deeping,1877, 1950, English, None, None
Mazo de la Roche,1879, 1961, Canadian, None, None
Pearl S. Buck,1892, 1973, Caucasian, Ph.D., Cornell University
Willa Cather,1873, 1947, American, Bachelor's Degree, University of Nebraska-Lincoln
Rafael Sabatini,1875, 1950, Italian, None, None
John Galsworthy,1867, 1933, British, Bachelor's Degree, New College
A. A. Milne,1882, 1956, English, None, None
Edna Ferber,1885, 1968, American, Bachelor's Degree, University of Wisconsin-Madison
Clemance Dane,1888, 1965, British, None, None
Oliver LaFarge,1901, 1963, White, Master's Degree, Harvard University
Pearl Buck,1892, 1973, Caucasian, Bachelor's Degree, Cornell University
Henri Fauconnier,1879, 1946, French, None, None
Margaret Ayer Barnes,1886, 1960, American, Bachelor's Degree, University of Chicago
Clemence Dane,1888, 1965, British, None, None
William McFee,1881, 1966, British, None, None
E. Phillips Oppenheim,1866, 1946, White, None, None
Francis Brett Young,1884, 1954, British, Bachelor’s Degree, Birmingham University
Robert Herrick,1591, 1674, English, None, None
Booth Tarkington,1869, 1946, American, Bachelor's Degree, Princeton University
Anne Parrish,1888, 1957, American, Bachelor's Degree, University of Colorado
Mary Roberts Rinehart,1876, 1958, American, None, None
Aldous Huxley,1894, 1963, English, Master's Degree, Oxford University
Tiffany Thayer,1902, 1959, American, Bachelor's Degree, Columbia University
Vicki Baum,1888, 1960, Austrian-Jewish, Doctorate, University of Vienna
John Dos Passos,1896, 1970, American, Bachelor's Degree, Harvard University
Louis Golding,1895, 1958, Jewish, Bachelor's Degree, University of Oxford
Kathleen Norris,1947, N/A, American, Master's Degree, University of the Pacific
Julia Peterkin,1880, 1961, American, Bachelor's Degree, Columbia University
A. J. Cronin,1896, 1981, Scottish, Bachelor's Degree, University of Glasgow
Helen Hull,1885, 1972, American, None, None
Louis Bromfield,1896, 1956, American, Bachelor's Degree, Ohio State University
Faith Baldwin,1893, 1978, American, Bachelor's Degree, Barnard College
Charles Morgan,1894, 1958, Welsh, None, None
A. Hamilton Gibbs,1884, 1961, African American, Bachelor's Degree, University of Pennsylvania
Alice Grant Rosman,1886, 1978, White, Bachelor's Degree, University of Colorado
G. B. Stern,1890, 1973, British, None, None
T. S. Stribling,1887, 1965, American, Bachelor's Degree, University of Alabama
Lady Eleanor Smith,1882, 1972, British, None, None
